'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "zolder, zolder2017online_prc"
"
Best lap, "McLarenTim (01:25.1280)"
Lasted laps, "5"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "3", "01:25.1280", "-",
"2",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:26.0720", "00:00.9440",
"3",   "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "4", "01:26.1380", "00:01.0100",
"4",   "", "", "urd_t5_aura_2018", "Waffles", "5", "01:26.5740", "00:01.4460",
"5",   "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "3", "01:26.6030", "00:01.4750",
"6",   "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "2", "01:27.2140", "00:02.0860",
"7",   "", "PRT Black", "urd_t5_aura_2018", "gman197002", "5", "01:27.6830", "00:02.5550",
"Viperion_NZ", "urd_t5_aura_2018", "30.4470", "1.0980"
"NihonTiger", "urd_t5_bayro_2018", "30.7930", "1.4440"
"marzen224", "urd_t5_bayro_2018", "30.9910", "1.6420"
"NotJames", "urd_t5_bayro_2018", "31.4960", "2.1470"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"PhotonBurst", "urd_t5_maures_2018", "28.1200", "-"
"MrGrinder", "urd_t5_aura_2018", "28.1260", "0.0060"
"McLarenTim", "urd_t5_maures_2018", "28.1520", "0.0320"
"gunciz", "urd_t5_aura_2018", "28.4220", "0.3020"
"JEMknight657", "urd_t5_bayro_2018", "28.4440", "0.3240"
"Waffles", "urd_t5_aura_2018", "28.5530", "0.4330"
"gman197002", "urd_t5_aura_2018", "28.6520", "0.5320"
"bacsi97", "urd_t5_bayro_2018", "28.6840", "0.5640"
"Trempale", "urd_t5_bayro_2018", "28.6970", "0.5770"
"NihonTiger", "urd_t5_bayro_2018", "28.7330", "0.6130"
"SBD", "urd_t5_bayro_2018", "28.7600", "0.6400"
"Viperion_NZ", "urd_t5_aura_2018", "28.8180", "0.6980"
"NotJames", "urd_t5_bayro_2018", "28.8850", "0.7650"
"marzen224", "urd_t5_bayro_2018", "29.3180", "1.1980"


Race 1 incidents worth reviewing
'======================
Date, Incident







'+++++++++++++++++++++
Race 2
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "zolder, zolder2017online_prc"
Winner, "McLarenTim"
Led most laps, "McLarenTim"
Best lap, "McLarenTim (01:24.2790)"
Lasted laps, "29"
Host, "Unknown"


Race 2 result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "29", "    41:37.3530", "01:24.2790", "99.15%", "26", "0", 
"2",  "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "29", "  '+00:16.4760", "01:24.3390", "98.60%", "2", "0", 
"3",  "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "29", "  '+00:21.6280", "01:24.6840", "98.84%", "0", "0", 
"4",  "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "29", "  '+00:25.5170", "01:24.8340", "98.93%", "0", "0", 
"5",  "", "", "urd_t5_bayro_2018", "JEMknight657", "29", "  '+00:54.5250", "01:25.3020", "98.23%", "0", "0", 
"6",  "", "M Power", "urd_t5_bayro_2018", "SBD", "29", "  '+01:02.6610", "01:25.5810", "98.73%", "0", "0", 
"7",  "", "M Power", "urd_t5_bayro_2018", "bacsi97", "29", "  '+01:22.7770", "01:26.1540", "98.11%", "0", "0", 
"8",  "", "PRT Black", "urd_t5_aura_2018", "gman197002", "29", "  '+01:23.9010", "01:26.0680", "97.97%", "0", "0", 
"9",  "", "", "urd_t5_aura_2018", "Waffles", "29", "  '+01:25.8850", "01:25.9540", "97.87%", "0", "0", 
"10",  "", "", "urd_t5_bayro_2018", "NihonTiger", "28", "  '+01:41.4770", "01:27.3280", "98.79%", "0", "0", 
"11",  "", "Monterey SimSport", "urd_t5_bayro_2018", "Trempale", "28", "  '+01:52.3920", "01:26.4130", "97.27%", "0", "0", 
"12",  "", "PRT Black", "urd_t5_aura_2018", "Viperion_NZ", "28", "  '+02:13.4600", "01:27.0280", "97.82%", "0", "0", 
"13",  "", "", "urd_t5_bayro_2018", "marzen224", "27", "  '+03:03.4470", "01:28.5840", "96.50%", "0", "0", 
"14",  "", "Monterey SimSport", "urd_t5_bayro_2018", "NotJames", "0", " DNF", "-", "-", "0", "0", 
"15",  "", "", "ford_transit", "Broadcast", "0", " DNF", "-", "-", "0", "0", 
"16",  "", "", "urd_t5_bayro_2018", "007mnbb", "0", " DNF", "-", "-", "0", "0", 
"17",  "", "", "urd_t5_bayro_2018", "SouP", "0", " DNF", "-", "-", "0", "0", 


Race 2 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "01:34.7210", "34.8530", "30.7890", "29.0790",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:25.3770", "27.1380", "29.7900", "28.4490",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:25.3060", "27.0440", "29.7500", "28.5120",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:25.3030", "27.1050", "29.7530", "28.4450",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:24.8300", "26.8880", "29.6380", "28.3040",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:24.8990", "26.7230", "29.7190", "28.4570",  "F:M - R:M",     
"7 ", urd_t5_maures_2018, no,"0", "01:25.0430", "26.8050", "29.6450", "28.5930",  "F:M - R:M",     
"8 ", urd_t5_maures_2018, no,"0", "01:24.7380", "26.7780", "29.7670", "28.1930",  "F:M - R:M",     
"9 ", urd_t5_maures_2018, no,"0", "01:25.1300", "27.2020", "29.5960", "28.3320",  "F:M - R:M",     
"10 ", urd_t5_maures_2018, no,"0", "01:24.8360", "26.9080", "29.7140", "28.2140",  "F:M - R:M",     
"11 ", urd_t5_maures_2018, no,"0", "01:25.3270", "26.9670", "29.6410", "28.7190",  "F:M - R:M",     
"12 ", urd_t5_maures_2018, no,"0", "01:24.9970", "27.0320", "29.5880", "28.3770",  "F:M - R:M",     
"13 ", urd_t5_maures_2018, no,"0", "01:24.9020", "26.7620", "29.7050", "28.4350",  "F:M - R:M",     
"14 ", urd_t5_maures_2018, no,"0", "01:25.0620", "26.9890", "29.6140", "28.4590",  "F:M - R:M",     
"15 ", urd_t5_maures_2018, no,"0", "01:26.0300", "26.7250", "29.6950", "29.6100",  "F:M - R:M",     
"16 ", urd_t5_maures_2018, no,"0", "01:48.6140", "49.5520", "30.6590", "28.4030",  "F:M - R:M",     
"17 ", urd_t5_maures_2018, no,"0", "01:25.1380", "26.8810", "30.0640", "28.1930",  "F:M - R:M",     
"18 ", urd_t5_maures_2018, no,"0", "01:24.7860", "26.8260", "29.5650", "28.3950",  "F:M - R:M",     
"19 ", urd_t5_maures_2018, no,"0", "01:24.6890", "26.8380", "29.5730", "28.2780",  "F:M - R:M",     
"20 ", urd_t5_maures_2018, no,"0", "01:24.9260", "26.8860", "29.7040", "28.3360",  "F:M - R:M",     
"21 ", urd_t5_maures_2018, no,"0", "01:24.6390", "26.7960", "29.6090", "28.2340",  "F:M - R:M",     
"22 ", urd_t5_maures_2018, no,"0", "01:24.5180", "26.7470", "29.5340", "28.2370",  "F:M - R:M",     
"23 ", urd_t5_maures_2018, no,"0", "01:24.8720", "26.7330", "29.7530", "28.3860",  "F:M - R:M",     
"24 ", urd_t5_maures_2018, no,"0", "01:24.8540", "26.7600", "29.6540", "28.4400",  "F:M - R:M",     
"25 ", urd_t5_maures_2018, no,"0", "01:24.2790", "26.7140", "29.3950", "28.1700",  "F:M - R:M",     
"26 ", urd_t5_maures_2018, no,"0", "01:24.6580", "26.7390", "29.7000", "28.2190",  "F:M - R:M",     
"27 ", urd_t5_maures_2018, no,"0", "01:24.9110", "26.8160", "29.7680", "28.3270",  "F:M - R:M",     
"28 ", urd_t5_maures_2018, no,"0", "01:24.9080", "26.8810", "29.6680", "28.3590",  "F:M - R:M",     
"29 ", urd_t5_maures_2018, no,"0", "01:25.1340", "26.7960", "29.8390", "28.4990",  "F:M - R:M",     
Average,,,"01:26.1181", "27.9270", "29.7548", "28.4363"
Best possible,,, "01:24.2790", "26.7140", "29.3950", "28.1700"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "01:35.3100", "35.1360", "31.3510", "28.8230",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:25.8590", "27.1700", "30.1860", "28.5030",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:25.2320", "27.0300", "29.6450", "28.5570",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:25.2460", "27.0210", "29.5380", "28.6870",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:25.0460", "26.8620", "29.8610", "28.3230",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:25.0030", "26.9850", "29.7130", "28.3050",  "F:M - R:M",     
"7 ", urd_t5_maures_2018, no,"0", "01:24.6330", "26.8610", "29.4750", "28.2970",  "F:M - R:M",     
"8 ", urd_t5_maures_2018, no,"0", "01:25.0500", "26.8290", "29.6590", "28.5620",  "F:M - R:M",     
"9 ", urd_t5_maures_2018, no,"0", "01:25.2660", "27.2520", "29.7130", "28.3010",  "F:M - R:M",     
"10 ", urd_t5_maures_2018, no,"0", "01:25.0130", "26.9180", "29.8260", "28.2690",  "F:M - R:M",     
"11 ", urd_t5_maures_2018, no,"0", "01:25.3310", "27.2500", "29.7130", "28.3680",  "F:M - R:M",     
"12 ", urd_t5_maures_2018, no,"0", "01:25.0610", "26.9220", "29.8570", "28.2820",  "F:M - R:M",     
"13 ", urd_t5_maures_2018, no,"0", "01:25.0480", "26.8580", "29.7190", "28.4710",  "F:M - R:M",     
"14 ", urd_t5_maures_2018, no,"0", "01:24.9970", "26.8520", "29.7590", "28.3860",  "F:M - R:M",     
"15 ", urd_t5_maures_2018, no,"0", "01:25.5730", "26.8610", "29.7090", "29.0030",  "F:M - R:M",     
"16 ", urd_t5_maures_2018, no,"0", "01:25.2000", "26.9430", "29.7990", "28.4580",  "F:M - R:M",     
"17 ", urd_t5_maures_2018, no,"0", "01:26.6160", "27.2560", "29.7630", "29.5970",  "F:M - R:M",     
"18 ", urd_t5_maures_2018, no,"0", "01:50.7000", "51.4620", "30.6760", "28.5620",  "F:M - R:M",     
"19 ", urd_t5_maures_2018, no,"0", "01:24.3390", "26.9190", "29.3220", "28.0980",  "F:M - R:M",     
"20 ", urd_t5_maures_2018, no,"0", "01:25.3380", "26.8330", "29.6640", "28.8410",  "F:M - R:M",     
"21 ", urd_t5_maures_2018, no,"0", "01:25.8230", "27.1710", "30.1630", "28.4890",  "F:M - R:M",     
"22 ", urd_t5_maures_2018, no,"0", "01:25.0800", "26.9850", "29.7170", "28.3780",  "F:M - R:M",     
"23 ", urd_t5_maures_2018, no,"0", "01:24.9960", "27.0450", "29.3300", "28.6210",  "F:M - R:M",     
"24 ", urd_t5_maures_2018, no,"0", "01:24.9550", "26.9450", "29.4440", "28.5660",  "F:M - R:M",     
"25 ", urd_t5_maures_2018, no,"0", "01:24.4660", "26.8660", "29.3850", "28.2150",  "F:M - R:M",     
"26 ", urd_t5_maures_2018, no,"0", "01:25.3250", "26.8210", "29.9200", "28.5840",  "F:M - R:M",     
"27 ", urd_t5_maures_2018, no,"0", "01:33.0580", "34.8100", "30.0510", "28.1970",  "F:M - R:M",     
"28 ", urd_t5_maures_2018, no,"0", "01:24.9740", "26.9470", "29.6770", "28.3500",  "F:M - R:M",     
"29 ", urd_t5_maures_2018, no,"0", "01:25.3180", "27.0750", "29.8570", "28.3860",  "F:M - R:M",     
Average,,,"01:26.6847", "28.3753", "29.8101", "28.4993"
Best possible,,, "01:24.2410", "26.8210", "29.3220", "28.0980"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", urd_t5_aura_2018, no,"0", "01:36.7080", "35.7640", "31.9280", "29.0160",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:26.6160", "27.4540", "30.6860", "28.4760",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:26.6650", "28.2280", "30.0550", "28.3820",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:25.8480", "27.5630", "29.9170", "28.3680",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:25.4100", "27.0450", "29.8710", "28.4940",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:25.7970", "27.1350", "30.1400", "28.5220",  "F:M - R:M",     
"7 ", urd_t5_aura_2018, no,"0", "01:25.8140", "26.9230", "30.0870", "28.8040",  "F:M - R:M",     
"8 ", urd_t5_aura_2018, no,"0", "01:25.6060", "26.8450", "30.2540", "28.5070",  "F:M - R:M",     
"9 ", urd_t5_aura_2018, no,"0", "01:26.1220", "27.1310", "29.9120", "29.0790",  "F:M - R:M",     
"10 ", urd_t5_aura_2018, no,"0", "01:25.8070", "27.1770", "29.9610", "28.6690",  "F:M - R:M",     
"11 ", urd_t5_aura_2018, no,"0", "01:26.1000", "27.2980", "29.9200", "28.8820",  "F:M - R:M",     
"12 ", urd_t5_aura_2018, no,"0", "01:26.2100", "26.9410", "29.9650", "29.3040",  "F:M - R:M",     
"13 ", urd_t5_aura_2018, no,"0", "01:25.8170", "27.1380", "30.0370", "28.6420",  "F:M - R:M",     
"14 ", urd_t5_aura_2018, no,"0", "01:25.9610", "27.1730", "30.2090", "28.5790",  "F:M - R:M",     
"15 ", urd_t5_aura_2018, no,"0", "01:26.6770", "27.0650", "29.8720", "29.7400",  "F:M - R:M",     
"16 ", urd_t5_aura_2018, no,"0", "01:50.3320", "50.8920", "30.9870", "28.4530",  "F:M - R:M",     
"17 ", urd_t5_aura_2018, no,"0", "01:24.9480", "26.9830", "29.7090", "28.2560",  "F:M - R:M",     
"18 ", urd_t5_aura_2018, no,"0", "01:25.1490", "26.9100", "29.8430", "28.3960",  "F:M - R:M",     
"19 ", urd_t5_aura_2018, no,"0", "01:25.3640", "27.0940", "29.7590", "28.5110",  "F:M - R:M",     
"20 ", urd_t5_aura_2018, no,"0", "01:25.4930", "26.9670", "30.0960", "28.4300",  "F:M - R:M",     
"21 ", urd_t5_aura_2018, no,"0", "01:25.9620", "27.1240", "30.0100", "28.8280",  "F:M - R:M",     
"22 ", urd_t5_aura_2018, no,"0", "01:24.8690", "26.8640", "29.6920", "28.3130",  "F:M - R:M",     
"23 ", urd_t5_aura_2018, no,"0", "01:25.3360", "26.8670", "30.0020", "28.4670",  "F:M - R:M",     
"24 ", urd_t5_aura_2018, no,"0", "01:25.0010", "26.7890", "29.6560", "28.5560",  "F:M - R:M",     
"25 ", urd_t5_aura_2018, no,"0", "01:25.2590", "27.0070", "29.9110", "28.3410",  "F:M - R:M",     
"26 ", urd_t5_aura_2018, no,"0", "01:25.0880", "26.9220", "29.8880", "28.2780",  "F:M - R:M",     
"27 ", urd_t5_aura_2018, no,"0", "01:25.0080", "27.0840", "29.6180", "28.3060",  "F:M - R:M",     
"28 ", urd_t5_aura_2018, no,"0", "01:25.3640", "26.9990", "29.9700", "28.3950",  "F:M - R:M",     
"29 ", urd_t5_aura_2018, no,"0", "01:24.6840", "26.9400", "29.4880", "28.2560",  "F:M - R:M",     
Average,,,"01:26.8626", "28.2180", "30.0498", "28.5948"
Best possible,,, "01:24.5330", "26.7890", "29.4880", "28.2560"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", urd_t5_aura_2018, no,"0", "01:36.3710", "35.5140", "31.7200", "29.1370",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:26.0470", "27.4160", "30.1150", "28.5160",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:25.5590", "26.9070", "30.0820", "28.5700",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:26.6230", "26.9800", "30.2720", "29.3710",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:25.7670", "27.1040", "30.1010", "28.5620",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:26.0840", "27.5170", "30.0420", "28.5250",  "F:M - R:M",     
"7 ", urd_t5_aura_2018, no,"0", "01:25.2370", "27.0840", "29.7350", "28.4180",  "F:M - R:M",     
"8 ", urd_t5_aura_2018, no,"0", "01:25.6580", "27.1900", "29.9160", "28.5520",  "F:M - R:M",     
"9 ", urd_t5_aura_2018, no,"0", "01:27.0190", "27.5870", "30.0790", "29.3530",  "F:M - R:M",     
"10 ", urd_t5_aura_2018, no,"0", "01:25.4060", "27.0050", "29.8540", "28.5470",  "F:M - R:M",     
"11 ", urd_t5_aura_2018, no,"0", "01:25.6370", "27.0970", "29.9430", "28.5970",  "F:M - R:M",     
"12 ", urd_t5_aura_2018, no,"0", "01:28.5080", "27.1510", "29.8750", "31.4820",  "F:M - R:M",     
"13 ", urd_t5_aura_2018, no,"0", "01:52.5380", "52.4550", "31.2030", "28.8800",  "F:M - R:M",     
"14 ", urd_t5_aura_2018, no,"0", "01:25.8620", "27.0790", "30.1230", "28.6600",  "F:M - R:M",     
"15 ", urd_t5_aura_2018, no,"0", "01:25.8170", "27.0920", "29.7590", "28.9660",  "F:M - R:M",     
"16 ", urd_t5_aura_2018, no,"0", "01:25.5970", "26.9400", "30.1400", "28.5170",  "F:M - R:M",     
"17 ", urd_t5_aura_2018, no,"0", "01:25.3800", "27.1500", "29.6950", "28.5350",  "F:M - R:M",     
"18 ", urd_t5_aura_2018, no,"0", "01:25.4230", "26.9090", "29.9980", "28.5160",  "F:M - R:M",     
"19 ", urd_t5_aura_2018, no,"0", "01:24.8670", "26.8750", "29.5560", "28.4360",  "F:M - R:M",     
"20 ", urd_t5_aura_2018, no,"0", "01:25.1670", "26.8110", "29.6370", "28.7190",  "F:M - R:M",     
"21 ", urd_t5_aura_2018, no,"0", "01:24.8340", "26.8690", "29.5340", "28.4310",  "F:M - R:M",     
"22 ", urd_t5_aura_2018, no,"0", "01:25.1530", "26.8510", "29.8260", "28.4760",  "F:M - R:M",     
"23 ", urd_t5_aura_2018, no,"0", "01:25.1140", "26.9110", "29.8210", "28.3820",  "F:M - R:M",     
"24 ", urd_t5_aura_2018, no,"0", "01:25.2270", "27.2210", "29.6010", "28.4050",  "F:M - R:M",     
"25 ", urd_t5_aura_2018, no,"0", "01:25.1890", "26.8560", "29.8300", "28.5030",  "F:M - R:M",     
"26 ", urd_t5_aura_2018, no,"0", "01:25.6140", "26.9830", "30.0870", "28.5440",  "F:M - R:M",     
"27 ", urd_t5_aura_2018, no,"0", "01:25.5350", "26.9860", "29.8670", "28.6820",  "F:M - R:M",     
"28 ", urd_t5_aura_2018, no,"0", "01:25.6460", "26.9760", "29.9920", "28.6780",  "F:M - R:M",     
"29 ", urd_t5_aura_2018, no,"0", "01:26.0470", "26.9760", "29.6910", "29.3800",  "F:M - R:M",     
Average,,,"01:26.9974", "28.2239", "30.0032", "28.7703"
Best possible,,, "01:24.7270", "26.8110", "29.5340", "28.3820"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", urd_t5_bayro_2018, no,"0", "01:38.8590", "37.8880", "31.6440", "29.3270",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:26.7460", "27.7470", "30.3020", "28.6970",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:27.6430", "27.3470", "30.4700", "29.8260",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:32.0480", "30.3130", "31.8240", "29.9110",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:27.6310", "27.5790", "31.3380", "28.7140",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:28.3140", "27.4280", "30.2590", "30.6270",  "F:M - R:M",     
"7 ", urd_t5_bayro_2018, no,"0", "01:28.6180", "28.0710", "30.4780", "30.0690",  "F:M - R:M",     
"8 ", urd_t5_bayro_2018, no,"0", "01:50.7550", "51.2960", "30.6360", "28.8230",  "F:M - R:M",     
"9 ", urd_t5_bayro_2018, no,"0", "01:26.3070", "27.4100", "30.0790", "28.8180",  "F:M - R:M",     
"10 ", urd_t5_bayro_2018, no,"0", "01:29.0370", "30.3660", "30.0510", "28.6200",  "F:M - R:M",     
"11 ", urd_t5_bayro_2018, no,"0", "01:26.1120", "27.2160", "30.3740", "28.5220",  "F:M - R:M",     
"12 ", urd_t5_bayro_2018, no,"0", "01:25.9680", "26.8820", "30.4030", "28.6830",  "F:M - R:M",     
"13 ", urd_t5_bayro_2018, no,"0", "01:25.9040", "27.0720", "30.0680", "28.7640",  "F:M - R:M",     
"14 ", urd_t5_bayro_2018, no,"0", "01:26.1150", "27.6510", "30.0550", "28.4090",  "F:M - R:M",     
"15 ", urd_t5_bayro_2018, no,"0", "01:26.3460", "27.4720", "30.1550", "28.7190",  "F:M - R:M",     
"16 ", urd_t5_bayro_2018, no,"0", "01:25.9760", "27.6120", "29.8930", "28.4710",  "F:M - R:M",     
"17 ", urd_t5_bayro_2018, no,"0", "01:26.4650", "27.1780", "30.1410", "29.1460",  "F:M - R:M",     
"18 ", urd_t5_bayro_2018, no,"0", "01:25.7630", "27.3890", "29.8670", "28.5070",  "F:M - R:M",     
"19 ", urd_t5_bayro_2018, no,"0", "01:25.3500", "27.0340", "29.9070", "28.4090",  "F:M - R:M",     
"20 ", urd_t5_bayro_2018, no,"0", "01:25.3020", "27.0360", "29.9650", "28.3010",  "F:M - R:M",     
"21 ", urd_t5_bayro_2018, no,"0", "01:25.7960", "27.2200", "30.0640", "28.5120",  "F:M - R:M",     
"22 ", urd_t5_bayro_2018, no,"0", "01:25.7550", "27.3270", "29.9510", "28.4770",  "F:M - R:M",     
"23 ", urd_t5_bayro_2018, no,"0", "01:27.1820", "27.4090", "30.1810", "29.5920",  "F:M - R:M",     
"24 ", urd_t5_bayro_2018, no,"0", "01:25.7860", "27.1110", "30.2300", "28.4450",  "F:M - R:M",     
"25 ", urd_t5_bayro_2018, no,"0", "01:26.1540", "27.2350", "30.1320", "28.7870",  "F:M - R:M",     
"26 ", urd_t5_bayro_2018, no,"0", "01:26.5440", "27.3820", "30.2350", "28.9270",  "F:M - R:M",     
"27 ", urd_t5_bayro_2018, no,"0", "01:26.2110", "27.2200", "30.2450", "28.7460",  "F:M - R:M",     
"28 ", urd_t5_bayro_2018, no,"0", "01:26.3320", "27.1250", "30.3940", "28.8130",  "F:M - R:M",     
"29 ", urd_t5_bayro_2018, no,"0", "01:26.9000", "27.3340", "30.5640", "29.0020",  "F:M - R:M",     
Average,,,"01:27.9972", "28.7362", "30.3416", "28.9194"
Best possible,,, "01:25.0500", "26.8820", "29.8670", "28.3010"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"SBD"
"1 ", urd_t5_bayro_2018, no,"0", "01:44.6590", "43.0760", "31.7480", "29.8350",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:27.6700", "27.5550", "30.0770", "30.0380",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:28.1240", "29.2550", "29.9800", "28.8890",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:27.3120", "27.0390", "30.6440", "29.6290",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:27.5070", "27.5080", "30.2720", "29.7270",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:26.0840", "27.1170", "30.0960", "28.8710",  "F:M - R:M",     
"7 ", urd_t5_bayro_2018, no,"0", "01:26.2320", "27.3670", "30.1280", "28.7370",  "F:M - R:M",     
"8 ", urd_t5_bayro_2018, no,"0", "01:27.7360", "28.7140", "30.1730", "28.8490",  "F:M - R:M",     
"9 ", urd_t5_bayro_2018, no,"0", "01:25.7890", "27.0230", "30.1860", "28.5800",  "F:M - R:M",     
"10 ", urd_t5_bayro_2018, no,"0", "01:26.1440", "27.5180", "30.0560", "28.5700",  "F:M - R:M",     
"11 ", urd_t5_bayro_2018, no,"0", "01:26.8840", "27.4970", "30.4120", "28.9750",  "F:M - R:M",     
"12 ", urd_t5_bayro_2018, no,"0", "01:26.2430", "27.1590", "30.0730", "29.0110",  "F:M - R:M",     
"13 ", urd_t5_bayro_2018, no,"0", "01:26.4120", "27.4160", "30.2230", "28.7730",  "F:M - R:M",     
"14 ", urd_t5_bayro_2018, no,"0", "01:29.5590", "27.2870", "29.8890", "32.3830",  "F:M - R:M",     
"15 ", urd_t5_bayro_2018, no,"0", "01:51.4100", "51.9740", "30.5920", "28.8440",  "F:M - R:M",     
"16 ", urd_t5_bayro_2018, no,"0", "01:26.0870", "27.1380", "29.7630", "29.1860",  "F:M - R:M",     
"17 ", urd_t5_bayro_2018, no,"0", "01:25.7460", "26.9670", "29.8440", "28.9350",  "F:M - R:M",     
"18 ", urd_t5_bayro_2018, no,"0", "01:25.5810", "27.1390", "29.8530", "28.5890",  "F:M - R:M",     
"19 ", urd_t5_bayro_2018, no,"0", "01:25.7420", "27.0620", "30.0830", "28.5970",  "F:M - R:M",     
"20 ", urd_t5_bayro_2018, no,"0", "01:27.3650", "26.8950", "29.7620", "30.7080",  "F:M - R:M",     
"21 ", urd_t5_bayro_2018, no,"0", "01:25.7180", "27.3710", "29.5570", "28.7900",  "F:M - R:M",     
"22 ", urd_t5_bayro_2018, no,"0", "01:26.0470", "27.3220", "30.1000", "28.6250",  "F:M - R:M",     
"23 ", urd_t5_bayro_2018, no,"0", "01:28.2820", "27.9050", "30.0920", "30.2850",  "F:M - R:M",     
"24 ", urd_t5_bayro_2018, no,"0", "01:25.7750", "27.0240", "29.8610", "28.8900",  "F:M - R:M",     
"25 ", urd_t5_bayro_2018, no,"0", "01:26.1910", "27.1330", "30.3210", "28.7370",  "F:M - R:M",     
"26 ", urd_t5_bayro_2018, no,"0", "01:26.3150", "27.3020", "30.1730", "28.8400",  "F:M - R:M",     
"27 ", urd_t5_bayro_2018, no,"0", "01:26.4120", "27.7090", "29.9840", "28.7190",  "F:M - R:M",     
"28 ", urd_t5_bayro_2018, no,"0", "01:26.0310", "27.2020", "30.0510", "28.7780",  "F:M - R:M",     
"29 ", urd_t5_bayro_2018, no,"0", "01:25.9580", "26.9500", "30.0110", "28.9970",  "F:M - R:M",     
Average,,,"01:28.1040", "28.7801", "30.1381", "29.1858"
Best possible,,, "01:25.0220", "26.8950", "29.5570", "28.5700"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", urd_t5_aura_2018, no,"0", "01:37.4540", "36.3850", "31.9810", "29.0880",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:26.9740", "27.4840", "30.8340", "28.6560",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:28.9570", "27.5370", "30.6720", "30.7480",  "F:M - R:M",     
